Cycle,Freshman,Party,State,District,BIO_ID,FEC_ID
2012,Joyce Beatty,D,OH,3,B001281,H2OH03125
2012,David Joyce,R,OH,14,J000295,H2OH14064
2012,Jim Bridenstine,R,OK,1,B001283,H2OK01143
2012,Markwayne Mullin,R,OK,2,M001190,H2OK02083
2012,Scott Perry,R,PA,4,P000605,H2PA04135
2012,Keith Rothfus,R,PA,12,R000598,H0PA04220
2012,Matt Cartwright,D,PA,17,C001090,H2PA17079
2012,Tom Rice,R,SC,7,R000597,H2SC07066
2012,Randy Weber,R,TX,14,W000814,H2TX14149
2012,Beto O'Rourke,D,TX,16,O000170,H2TX16185
2012,Joaquin Castro,D,TX,20,C001091,H2TX35011
2012,Pete Gallego,D,TX,23,G000572,H2TX23124
2012,Roger Williams,R,TX,25,W000816,H2TX33040
2012,Marc Veasey,D,TX,33,V000131,H2TX33073
2012,"Filemon Vela, Jr.",D,TX,34,V000132,H2TX27190
2012,Chris Stewart,R,UT,2,S001192,H2UT02324
2012,Derek Kilmer,D,WA,6,K000381,H2WA06129
2012,Dennis Heck,D,WA,10,H001064,H0WA03161
2012,Mark Pocan,D,WI,2,P000607,H2WI02124
2014,Gary Palmer,R,AL,6,P000609,H4AL06098
2014,Martha McSally,R,AZ,2,M001197,H2AZ08102
2014,Ruben Gallego,D,AZ,7,G000574,H4AZ07043
2014,French Hill,R,AR,2,H001072,H4AR02141
2014,Bruce Westerman,R,AR,4,W000821,H4AR04048
2014,Mark DeSaulnier,D,CA,11,D000623,H0CA10073
2014,Steve Knight,R,CA,25,K000387,H4CA25123
2014,Pete Aguilar,D,CA,31,A000371,H2CA31125
2014,Ted Lieu,D,CA,33,L000582,H4CA33119
2014,Norma Torres,D,CA,35,T000474,H4CA35031
2014,Mimi Walters,R,CA,45,W000820,H4CA45097
2014,Ken Buck,R,CO,4,B001297,H4CO04090
2014,Gwen Graham,D,FL,2,G000575,H4FL02062
2014,Carlos Curbelo,R,FL,26,C001107,H4FL26038
2014,Buddy Carter,R,GA,1,C001103,H4GA01039
2014,Jody Hice,R,GA,10,H001071,H0GA07125
2014,Barry Loudermilk,R,GA,11,L000583,H4GA11061
2014,Rick W. Allen,R,GA,12,A000372,H2GA12121
2014,Mark Takai,D,HI,1,T000473,H4HI01134
2014,Mike Bost,R,IL,12,B001295,H4IL12060
2014,Rod Blum,R,IA,1,B001294,H2IA01055
2014,David Young,R,IA,3,Y000066,H4IA03115
2014,Ralph Abraham,R,LA,5,A000374,H4LA05221
2014,Garret Graves,R,LA,6,G000577,H4LA06153
2014,Bruce Poliquin,R,ME,2,P000611,H4ME02234
2014,Seth Moulton,D,MA,6,M001196,H4MA06090
2014,John Moolenaar,R,MI,4,M001194,H4MI04126
2014,Mike Bishop,R,MI,8,B001293,H4MI08135
2014,David Trott,R,MI,11,T000475,H4MI11097
2014,Debbie Dingell,D,MI,12,D000624,H4MI12079
2014,Brenda Lawrence,D,MI,14,L000581,H2MI14111
2014,Tom Emmer,R,MN,6,E000294,H4MN06087
2014,Ryan Zinke,R,MT,0,Z000018,H4MT01041
2014,Brad Ashford,D,NE,2,A000373,H4NE02054
2014,Cresent Hardy,R,NV,4,H001070,H4NV04017
2014,Tom MacArthur,R,NJ,3,M001193,H4NJ03130
2014,Bonnie Watson Coleman,D,NJ,12,W000822,H4NJ12149
2014,Lee Zeldin,R,NY,1,Z000017,H8NY01148
2014,Kathleen Rice,D,NY,4,R000602,H4NY04075
2014,Elise Stefanik,R,NY,21,S001196,H4NY21079
2014,John Katko,R,NY,24,K000386,H4NY24073
2014,Mark Walker,R,NC,6,W000819,H4NC06052
2014,David Rouzer,R,NC,7,R000603,H2NC07096
2014,Steve Russell,R,OK,5,R000604,H4OK05132
2014,Ryan Costello,R,PA,6,C001106,H0PA06076
2014,Brendan F. Boyle,D,PA,13,B001296,H4PA13199
2014,John Ratcliffe,R,TX,4,R000601,H4TX04153
2014,Will Hurd,R,TX,23,H001073,H0TX23086
2014,Brian Babin,R,TX,36,B001291,H6TX02079
2014,Mia Love,R,UT,4,L000584,H2UT04023
2014,Don Beyer,D,VA,8,B001292,H4VA08224
2014,Barbara Comstock,R,VA,10,C001105,H4VA10089
2014,Dan Newhouse,R,WA,4,N000189,H4WA04104
2014,Alex Mooney,R,WV,2,M001195,H4WV02080
2014,Evan Jenkins,R,WV,3,J000297,H4WV03070
2014,Glenn Grothman,R,WI,6,G000576,H4WI06048
2014,Amata Coleman Radewagen,R,AS,0,R000600,H4AS00036
2014,Stacey Plaskett,D,VI,0,P000610,H2VI00082
2016,Tom O'Halleran,D,AZ,1,O000171,H6AZ01199
2016,Andy Biggs,R,AZ,5,B001302,H6AZ05083
2016,Ro Khanna,D,CA,17,K000389,H4CA12055
2016,Jimmy Panetta,D,CA,20,P000613,H6CA20152
2016,Salud Carbajal,D,CA,24,C001112,H6CA24303
2016,Nanette Barragan,D,CA,44,B001300,H6CA44103
2016,Lou Correa,D,CA,46,C001110,H6CA46116
2016,Lisa Blunt Rochester,D,DE,0,B001303,H6DE00206
2016,Matt Gaetz,R,FL,1,G000578,H6FL01119
2016,Neal Dunn,R,FL,2,D000628,H6FL02208
2016,John Rutherford,R,FL,4,R000609,H6FL04105
2016,Al Lawson,D,FL,5,L000586,H0FL02086
2016,Stephanie Murphy,D,FL,7,M001202,H6FL07140
2016,Darren Soto,D,FL,9,S001200,H6FL09179
2016,Val Demings,D,FL,10,D000627,H2FL08063
2016,Charlie Crist,D,FL,13,C001111,H6FL13205
2016,Brian Mast,R,FL,18,M001199,H6FL18097
2016,Francis Rooney,R,FL,19,R000607,H6FL19087
2016,Drew Ferguson,R,GA,3,F000465,H6GA03113
2016,Raja Krishnamoorthi,D,IL,8,K000391,H6IL08147
2016,Brad Schneider,D,IL,10,S001190,H2IL10068
2016,Jim Banks,R,IN,3,B001299,H6IN03229
2016,Trey Hollingsworth,R,IN,9,H001074,H6IN09176
2016,Roger Marshall,R,KS,1,M001198,H6KS01179
2016,Clay Higgins,R,LA,3,H001077,H6LA03148
2016,Mike Johnson,R,LA,4,J000299,H6LA04138
2016,Anthony Brown,D,MD,4,B001304,H6MD04209
2016,Jamie Raskin,D,MD,8,R000606,H6MD08457
2016,Jack Bergman,R,MI,1,B001301,H6MI01226
2016,Paul Mitchell,R,MI,10,M001201,H4MI04118
2016,Jason Lewis,R,MN,2,L000587,H6MN02149
2016,Don Bacon,R,NE,2,B001298,H6NE02125
2016,Jacky Rosen,D,NV,3,R000608,H6NV03139
2016,Ruben Kihuen,D,NV,4,K000390,H2NV00050
2016,Josh Gottheimer,D,NJ,5,G000583,H6NJ05171
2016,Thomas Suozzi,D,NY,3,S001201,H6NY03247
2016,Adriano Espaillat,D,NY,13,E000297,H2NY13096
2016,John Faso,R,NY,19,F000464,H6NY19169
2016,Claudia Tenney,R,NY,22,T000478,H4NY22051
2016,Ted Budd,R,NC,13,B001305,H6NC13129
2016,Brian Fitzpatrick,R,PA,8,F000466,H6PA08277
2016,Lloyd Smucker,R,PA,16,S001199,H6PA16320
2016,David Kustoff,R,TN,8,K000392,H2TN07103
2016,Vicente Gonzalez,D,TX,15,G000581,H6TX15162
2016,Jodey Arrington,R,TX,19,A000375,H6TX19099
2016,Scott Taylor,R,VA,2,T000477,H0VA02118
2016,Donald McEachin,D,VA,4,M001200,H6VA04061
2016,Tom Garrett,R,VA,5,G000580,H6VA05142
2016,Pramila Jayapal,D,WA,7,J000298,H6WA07458
2016,Mike Gallagher,R,WI,8,G000579,H6WI08155
2016,Liz Cheney,R,WY,0,C001109,H6WY00159
2016,Jenniffer Gonzalez,R,PR,0,G000582,H6PR00082
2018,Greg Stanton,D,AZ,9,S001211,H8AZ09040
2018,Josh Harder,D,CA,10,H001090,H8CA10126
2018,TJ Cox,D,CA,21,C001124,H6CA19113
2018,Katie Hill,D,CA,25,H001087,H8CA25074
2018,Gil Cisneros,D,CA,39,C001123,H8CA39174
2018,Katie Porter,D,CA,45,P000618,H8CA45130
2018,Harley Rouda,D,CA,48,R000616,H8CA48035
2018,Mike Levin,D,CA,49,L000593,H8CA49058
2018,Joe Neguse,D,CO,2,N000191,H8CO02160
2018,Jason Crow,D,CO,6,C001121,H8CO06229
2018,Jahana Hayes,D,CT,5,H001081,H8CT05245
2018,Michael Waltz,R,FL,6,W000823,H8FL06148
2018,Ross Spano,R,FL,15,S001210,H8FL15230
2018,Greg Steube,R,FL,17,S001214,H8FL17053
2018,Debbie Mucarsel-Powell,D,FL,26,M001207,H8FL26039
2018,Donna Shalala,D,FL,27,S001206,H8FL27193
2018,Lucy McBath,D,GA,6,M001208,H8GA06393
2018,Russ Fulcher,R,ID,1,F000469,H8ID01124
2018,Chuy Garcia,D,IL,4,G000586,H8IL04134
2018,Sean Casten,D,IL,6,C001117,H8IL06139
2018,Lauren Underwood,D,IL,14,U000040,H8IL14174
2018,Jim Baird,R,IN,4,B001307,H8IN04199
2018,Greg Pence,R,IN,6,P000615,H8IN06129
2018,Abby Finkenauer,D,IA,1,F000467,H8IA01094
2018,Cindy Axne,D,IA,3,A000378,H8IA03124
2018,Steve Watkins,R,KS,2,W000824,H8KS02199
2018,Sharice Davids,D,KS,3,D000629,H8KS03155
2018,Jared Golden,D,ME,2,G000592,H8ME02185
2018,David Trone,D,MD,6,T000483,H6MD08549
2018,Lori Trahan,D,MA,3,T000482,H8MA03106
2018,Ayanna Pressley,D,MA,7,P000617,H8MA07032
2018,Elissa Slotkin,D,MI,8,S001208,H8MI08102
2018,Andy Levin,D,MI,9,L000592,H8MI09118
2018,Haley Stevens,D,MI,11,S001215,H8MI11254
2018,Rashida Tlaib,D,MI,13,T000481,H8MI13250
2018,Jim Hagedorn,R,MN,1,H001088,H0MN01045
2018,Angie Craig,D,MN,2,C001119,H6MN02131
2018,Dean Phillips,D,MN,3,P000616,H8MN03143
2018,Ilhan Omar,D,MN,5,O000173,H8MN05239
2018,Pete Stauber,R,MN,8,S001212,H8MN08043
2018,Michael Guest,R,MS,3,G000591,H8MS03125
2018,Susie Lee,D,NV,3,L000590,H6NV04020
2018,Chris Pappas,D,NH,1,P000614,H8NH01210
2018,Jeff Van Drew,D,NJ,2,V000133,H8NJ02166
2018,Andy Kim,D,NJ,3,K000394,H8NJ03206
2018,Tom Malinowski,D,NJ,7,M001203,H8NJ07223
2018,Mikie Sherrill,D,NJ,11,S001207,H8NJ11142
2018,Deb Haaland,D,NM,1,H001080,H8NM01331
2018,Xochitl Torres Small,D,NM,2,T000484,H8NM02248
2018,Max Rose,D,NY,11,R000613,H8NY11113
2018,Alexandria Ocasio-Cortez,D,NY,14,O000172,H8NY15148
2018,Antonio Delgado,D,NY,19,D000630,H8NY19181
2018,Anthony Brindisi,D,NY,22,B001308,H8NY22151
2018,Kelly Armstrong,R,ND,0,A000377,H8ND00096
2018,Anthony Gonzalez,R,OH,16,G000588,H8OH16124
2018,Kendra Horn,D,OK,5,H001083,H8OK05109
2018,Madeleine Dean,D,PA,4,D000631,H8PA04116
2018,Chrissy Houlahan,D,PA,6,H001085,H8PA06087
2018,Dan Meuser,R,PA,9,M001204,H8PA10147
2018,John Joyce,R,PA,13,J000302,H8PA13125
2018,Guy Reschenthaler,R,PA,14,R000610,H8PA18199
2018,Joe Cunningham,D,SC,1,C001122,H8SC01116
2018,William Timmons,R,SC,4,T000480,H8SC04250
2018,Dusty Johnson,R,SD,0,J000301,H8SD01055
2018,Tim Burchett,R,TN,2,B001309,H8TN02119
2018,John Rose,R,TN,6,R000612,H8TN06094
2018,Mark Green,R,TN,7,G000590,H8TN07076
2018,Dan Crenshaw,R,TX,2,C001120,H8TX02166
2018,Van Taylor,R,TX,3,T000479,H8TX03123
2018,Lance Gooden,R,TX,5,G000589,H8TX05144
2018,Ron Wright,R,TX,6,W000827,H8TX06233
2018,Lizzie Pannill Fletcher,D,TX,7,F000468,H8TX07140
